date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:31:18	1743140/1743140	---M-Z	200	added ('OK')	text/html	etag:%22fe81f5d028a853b65fe987946ae51bf1%22	https://taanvir.framer.ai/	D:/WX-Theme/portfolio/taanvir.framer.ai/index.html	(from )
00:31:18	95/95	---M-Z	200	added ('OK')	text/plain	etag:%22b0c09a137318141154dab397a8313cde%22	https://taanvir.framer.ai/robots.txt		(from )
00:31:19	4131/4131	---MC-	200	added ('OK')	image/png	etag:%2297d8b4a53d07638bd4ad728c5b7612a3%22	https://framerusercontent.com/images/yRHzspDbMFpzy4ilzpsXFuq1X04.png	D:/WX-Theme/portfolio/framerusercontent.com/images/yRHzspDbMFpzy4ilzpsXFuq1X04.png	(from https://taanvir.framer.ai/)
00:31:19	218193/218193	---M--	200	added ('OK')	image/png	etag:%22a2329c29d3be7282a862841b1cf8a3b9%22	https://framerusercontent.com/assets/xYkHes7cSMEzH0eBZzrhV4iqGqA.png	D:/WX-Theme/portfolio/framerusercontent.com/assets/xYkHes7cSMEzH0eBZzrhV4iqGqA.png	(from https://taanvir.framer.ai/)
00:31:20	68736/68736	---MC-	200	added ('OK')	image/jpeg	etag:%223cc3c1c8a148d99fc7882823286237ed%22	https://framerusercontent.com/images/zjjpdmV0vNLhsLS6Xn9gHLvo9Y.jpg	D:/WX-Theme/portfolio/framerusercontent.com/images/zjjpdmV0vNLhsLS6Xn9gHLvo9Y.jpg	(from https://taanvir.framer.ai/)
00:31:20	74080/74080	---MC-	200	added ('OK')	image/jpeg	etag:%2272afba4cf579580aeee79c20c62bace3%22	https://framerusercontent.com/images/2BJaNQeIzLK9RzH3bkopC5WPwI.jpg	D:/WX-Theme/portfolio/framerusercontent.com/images/2BJaNQeIzLK9RzH3bkopC5WPwI.jpg	(from https://taanvir.framer.ai/)
00:31:21	130396/130396	---MC-	200	added ('OK')	image/png	etag:%22527210357243277fcf94bc0be683e94c%22	https://framerusercontent.com/images/NywkFxOMrU5R2Bt6f2iCPeDNU.png	D:/WX-Theme/portfolio/framerusercontent.com/images/NywkFxOMrU5R2Bt6f2iCPeDNU.png	(from https://taanvir.framer.ai/)
00:31:21	9357/9357	---MC-	200	added ('OK')	image/png	etag:%228c2b96c97c9caccd8e724455177f7a4c%22	https://framerusercontent.com/images/iaLdU0HF7Zs2e6YstyeaQpv3M8.jpg	D:/WX-Theme/portfolio/framerusercontent.com/images/iaLdU0HF7Zs2e6YstyeaQpv3M8.png	(from https://taanvir.framer.ai/)
00:31:22	32180/32180	---MC-	200	added ('OK')	image/png	etag:%2243d95b11a72cb9d5bf9f97d9af94329e%22	https://framerusercontent.com/images/7kXJzCR4xsHTZ3x9rgDsxaAks.png	D:/WX-Theme/portfolio/framerusercontent.com/images/7kXJzCR4xsHTZ3x9rgDsxaAks.png	(from https://taanvir.framer.ai/)
00:31:24	20868/20868	---MC-	200	added ('OK')	image/png	etag:%2238fc28f252d66788d3837eb31cd57c58%22	https://framerusercontent.com/images/JANbJAzkBovpeGnnNoXqRpsA9cM.png	D:/WX-Theme/portfolio/framerusercontent.com/images/JANbJAzkBovpeGnnNoXqRpsA9cM.png	(from https://taanvir.framer.ai/)
